window,test_start,test_end,Logistic Regression_acc,Random Forest_acc,Gradient Boosting_acc,SVM_acc,XGBoost_acc
55,2025-02-04 08:00:00.001,2025-02-11 00:00:00.000,0.7142857142857143,0.5714285714285714,0.38095238095238093,0.3333333333333333,0.47619047619047616
56,2025-02-11 08:00:00.000,2025-02-18 00:00:00.000,0.47619047619047616,0.5238095238095238,0.6190476190476191,0.5238095238095238,0.5238095238095238
57,2025-02-18 08:00:00.000,2025-02-25 00:00:00.000,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.47619047619047616,0.6190476190476191
58,2025-02-25 08:00:00.000,2025-03-04 00:00:00.001,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6190476190476191
59,2025-03-04 08:00:00.005,2025-03-11 00:00:00.000,0.6190476190476191,0.42857142857142855,0.47619047619047616,0.38095238095238093,0.5714285714285714
60,2025-03-11 08:00:00.000,2025-03-18 00:00:00.000,0.7142857142857143,0.42857142857142855,0.47619047619047616,0.5238095238095238,0.42857142857142855
61,2025-03-18 08:00:00.000,2025-03-25 00:00:00.001,0.47619047619047616,0.42857142857142855,0.5238095238095238,0.47619047619047616,0.6190476190476191
62,2025-03-25 08:00:00.000,2025-04-01 00:00:00.000,0.8095238095238095,0.7619047619047619,0.6666666666666666,0.5238095238095238,0.5714285714285714
63,2025-04-01 08:00:00.001,2025-04-08 00:00:00.000,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.5238095238095238,0.38095238095238093
64,2025-04-08 08:00:00.000,2025-04-15 00:00:00.000,0.6190476190476191,0.6190476190476191,0.5238095238095238,0.5714285714285714,0.6190476190476191
65,2025-04-15 08:00:00.000,2025-04-22 00:00:00.008,0.6190476190476191,0.8571428571428571,0.8095238095238095,0.6190476190476191,0.7619047619047619
66,2025-04-22 08:00:00.000,2025-04-29 00:00:00.000,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.5714285714285714,0.5714285714285714
67,2025-04-29 08:00:00.000,2025-05-06 00:00:00.002,0.5714285714285714,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.42857142857142855
68,2025-05-06 08:00:00.005,2025-05-13 00:00:00.000,0.9523809523809523,0.9523809523809523,0.9047619047619048,1.0,0.8571428571428571
69,2025-05-13 08:00:00.008,2025-05-20 00:00:00.000,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6190476190476191
70,2025-05-20 08:00:00.002,2025-05-27 00:00:00.003,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.7142857142857143
71,2025-05-27 08:00:00.001,2025-06-03 00:00:00.000,0.5238095238095238,0.5238095238095238,0.5714285714285714,0.5714285714285714,0.38095238095238093
72,2025-06-03 08:00:00.000,2025-06-10 00:00:00.000,0.7142857142857143,0.6666666666666666,0.6190476190476191,0.7142857142857143,0.5714285714285714
73,2025-06-10 08:00:00.001,2025-06-17 00:00:00.000,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.6666666666666666
74,2025-06-17 08:00:00.006,2025-06-24 00:00:00.003,0.7142857142857143,0.5238095238095238,0.6190476190476191,0.7142857142857143,0.5238095238095238
75,2025-06-24 08:00:00.000,2025-07-01 00:00:00.007,0.8571428571428571,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.7619047619047619
76,2025-07-01 08:00:00.002,2025-07-08 00:00:00.010,0.47619047619047616,0.5238095238095238,0.5714285714285714,0.5238095238095238,0.47619047619047616
77,2025-07-08 08:00:00.003,2025-07-15 00:00:00.002,0.8571428571428571,0.8095238095238095,0.9047619047619048,0.9047619047619048,0.9047619047619048
78,2025-07-15 08:00:00.000,2025-07-22 00:00:00.000,1.0,1.0,0.9523809523809523,1.0,1.0
79,2025-07-22 08:00:00.010,2025-07-29 00:00:00.001,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523
80,2025-07-29 08:00:00.000,2025-08-05 00:00:00.000,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.6666666666666666
81,2025-08-05 08:00:00.000,2025-08-12 00:00:00.000,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
82,2025-08-12 08:00:00.001,2025-08-19 00:00:00.000,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7142857142857143
83,2025-08-19 08:00:00.001,2025-08-26 00:00:00.000,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8571428571428571
84,2025-08-26 08:00:00.000,2025-09-02 00:00:00.000,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048
85,2025-09-02 08:00:00.005,2025-09-09 00:00:00.000,0.9047619047619048,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.9523809523809523
86,2025-09-09 08:00:00.000,2025-09-16 00:00:00.001,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
87,2025-09-16 08:00:00.000,2025-09-23 00:00:00.000,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.5714285714285714
88,2025-09-23 08:00:00.001,2025-09-30 00:00:00.002,0.5714285714285714,0.5238095238095238,0.6190476190476191,0.47619047619047616,0.6666666666666666
89,2025-09-30 08:00:00.005,2025-10-07 00:00:00.000,0.5238095238095238,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5714285714285714
90,2025-10-07 08:00:00.003,2025-10-14 00:00:00.000,0.5714285714285714,0.5238095238095238,0.38095238095238093,0.3333333333333333,0.5714285714285714
91,2025-10-14 08:00:00.000,2025-10-21 00:00:00.009,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.47619047619047616,0.42857142857142855
92,2025-10-21 08:00:00.000,2025-10-28 00:00:00.000,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
93,2025-10-28 08:00:00.000,2025-11-04 00:00:00.002,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.6190476190476191,0.7619047619047619
94,2025-11-04 08:00:00.004,2025-11-11 00:00:00.007,0.47619047619047616,0.3333333333333333,0.5238095238095238,0.5238095238095238,0.5238095238095238
95,2025-11-11 08:00:00.000,2025-11-18 00:00:00.002,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.6666666666666666
96,2025-11-18 08:00:00.004,2025-11-25 00:00:00.000,0.5238095238095238,0.38095238095238093,0.5238095238095238,0.5714285714285714,0.38095238095238093
