iter	Huber:delta=0.01
91	1.767885113e-09
92	1.757247842e-09
93	1.745683177e-09
94	1.735414962e-09
95	1.726521266e-09
96	1.716542551e-09
97	1.709164027e-09
98	1.698330767e-09
99	1.689955858e-09
100	1.682834458e-09
101	1.673414096e-09
102	1.665487681e-09
103	1.656136135e-09
104	1.647559598e-09
105	1.638423683e-09
106	1.628279676e-09
107	1.620367806e-09
108	1.611332797e-09
109	1.603410824e-09
110	1.596970614e-09
111	1.587799227e-09
112	1.580519526e-09
113	1.57380804e-09
114	1.565262084e-09
115	1.560079883e-09
116	1.551673034e-09
117	1.546437878e-09
118	1.541714557e-09
119	1.535412186e-09
120	1.528167577e-09
121	1.520611259e-09
122	1.512653209e-09
123	1.506987119e-09
124	1.499682846e-09
125	1.492229013e-09
126	1.48412682e-09
127	1.478197029e-09
128	1.473098801e-09
129	1.468112761e-09
130	1.462729436e-09
131	1.457534647e-09
132	1.451639906e-09
133	1.446858857e-09
134	1.440630647e-09
135	1.434838672e-09
136	1.430645339e-09
137	1.426198282e-09
138	1.421805211e-09
139	1.416746193e-09
140	1.411790131e-09
141	1.408164502e-09
142	1.402704686e-09
143	1.399702121e-09
144	1.394527298e-09
145	1.390385315e-09
146	1.385430414e-09
147	1.38090276e-09
148	1.376921259e-09
149	1.373104748e-09
150	1.36838208e-09
151	1.364172548e-09
152	1.359017302e-09
153	1.356085746e-09
154	1.350302263e-09
155	1.34580124e-09
156	1.34170054e-09
157	1.337916221e-09
158	1.334064645e-09
159	1.329974949e-09
160	1.326035397e-09
161	1.322138022e-09
162	1.318156236e-09
163	1.314108221e-09
164	1.309071132e-09
165	1.305106775e-09
166	1.301510296e-09
167	1.298166418e-09
168	1.295210488e-09
169	1.291851614e-09
170	1.287531264e-09
171	1.284327087e-09
172	1.28173793e-09
173	1.278881626e-09
174	1.274745828e-09
175	1.271076301e-09
176	1.267794447e-09
177	1.263695873e-09
178	1.25945214e-09
179	1.256373746e-09
180	1.253168168e-09
181	1.249443915e-09
182	1.247334475e-09
183	1.244171999e-09
184	1.240857222e-09
185	1.238557132e-09
186	1.235712017e-09
187	1.233917244e-09
188	1.230818423e-09
189	1.228055803e-09
190	1.225167034e-09
191	1.221730707e-09
192	1.217545939e-09
193	1.215334952e-09
194	1.212497309e-09
195	1.210671185e-09
196	1.207671716e-09
197	1.204273707e-09
198	1.201243534e-09
199	1.199057371e-09
200	1.196120926e-09
201	1.192997542e-09
202	1.189991289e-09
203	1.185947281e-09
204	1.184295027e-09
205	1.182425113e-09
206	1.177879478e-09
207	1.174285963e-09
208	1.171820559e-09
209	1.16999597e-09
210	1.166823619e-09
211	1.164147563e-09
212	1.162505136e-09
213	1.159225526e-09
214	1.156501348e-09
215	1.15452064e-09
216	1.152282684e-09
217	1.149259703e-09
218	1.146489863e-09
219	1.143860037e-09
220	1.141307515e-09
221	1.138328159e-09
222	1.135910941e-09
223	1.133278121e-09
224	1.130708283e-09
225	1.127188192e-09
226	1.124681501e-09
227	1.123333652e-09
228	1.120815578e-09
229	1.117845258e-09
230	1.115242156e-09
231	1.112571333e-09
232	1.109684997e-09
233	1.107379065e-09
234	1.104597249e-09
235	1.102829624e-09
236	1.101473032e-09
237	1.100517229e-09
238	1.098490212e-09
239	1.096135777e-09
240	1.093854493e-09
241	1.092263987e-09
242	1.091099352e-09
243	1.08910526e-09
244	1.087340571e-09
245	1.086210396e-09
246	1.084163308e-09
247	1.082729905e-09
248	1.08191755e-09
249	1.079892484e-09
250	1.078765287e-09
251	1.077215227e-09
252	1.075769251e-09
253	1.074461086e-09
254	1.071865364e-09
255	1.069242791e-09
256	1.067579907e-09
257	1.066030158e-09
258	1.064475109e-09
259	1.062895733e-09
260	1.060397542e-09
261	1.058871052e-09
262	1.057131003e-09
263	1.05532716e-09
264	1.053977373e-09
265	1.052535825e-09
266	1.051665433e-09
267	1.04927539e-09
268	1.047996033e-09
269	1.046251727e-09
270	1.045073164e-09
271	1.043836378e-09
272	1.042474747e-09
273	1.040153704e-09
274	1.038575987e-09
275	1.035853673e-09
276	1.034896786e-09
277	1.03368534e-09
278	1.032126151e-09
279	1.031043498e-09
280	1.028782105e-09
281	1.028168289e-09
282	1.025051956e-09
283	1.021906971e-09
284	1.01987467e-09
285	1.018174112e-09
286	1.016505301e-09
287	1.014286073e-09
288	1.01261597e-09
